apartment_id,case_number,distance_miles
0,C25-1486,1.8578783732771982
0,C25-1470,1.5917709777181939
0,C25-1471,1.5314189341681683
0,C25-1472,1.8076606950197271
0,C25-1473,1.9381804126310778
0,C25-1474,1.3732286043499977
0,C25-1475,1.6789504851268962
0,C25-1476,1.6789504851268962
0,C25-1478,1.9199243009865967
0,C25-1464,1.6956795807100813
0,C25-1465,2.0336816466745593
0,C25-1466,1.3609296841130094
0,C25-1467,1.1783473130856892
0,C25-1468,1.7041045961692276
0,C25-1469,1.6027491190902294
0,C25-1459,1.7155536558549176
0,C25-1460,1.9199243009865967
0,C25-1461,0.9329879696512733
0,C25-1462,1.5976594144941847
0,C25-1463,1.7041045961692276
0,C25-1451,1.4956196336694956
0,C25-1452,2.043665538612967
0,C25-1453,1.5382004471175281
0,C25-1454,1.5761604262864939
0,C25-1455,1.0774849933974575
0,C25-1456,1.5761604262864939
0,C25-1457,1.418595963091775
0,C25-1458,1.6789504851268962
0,C25-1448,1.7557081290887258
0,C25-1449,1.0752433828265149
0,C25-1450,1.5483306565528558
0,C25-1440,1.5708364405151567
0,C25-1441,1.0052861745588784
0,C25-1442,1.0149679676363002
0,C25-1444,1.3037747991326836
0,C25-1446,1.3291132828477201
0,C25-1447,1.7260629680498742
0,C25-1423,1.657788787230676
0,C25-1424,1.297598835674305
0,C25-1425,1.1301840955840918
0,C25-1426,1.5708364405151567
0,C25-1427,1.5866885413784533
0,C25-1428,1.7680622983465413
0,C25-1429,2.2814717888104563
0,C25-1430,0.9397658449119596
0,C25-1431,1.5761604262864939
0,C25-1432,1.0184498124255086
0,C25-1433,1.90760888911848
0,C25-1434,1.5761604262864939
0,C25-1435,1.882858087129671
0,C25-1436,1.6572530141011363
0,C25-1437,1.797399558251674
0,C25-1438,1.7618193311749608
0,C25-1439,0.9535664194660349
0,C25-1419,1.3291132828477201
0,C25-1420,1.5761604262864939
0,C25-1421,1.2163031958162736
0,C25-1422,1.0052861745588784
0,C25-1408,1.2872117801909428
0,C25-1409,2.1415277707119142
0,C25-1410,1.3609296841130094
0,C25-1411,1.9381804126310778
0,C25-1412,1.6794346585515014
0,C25-1413,1.9810116180930117
0,C25-1414,1.6794346585515014
0,C25-1415,1.0052861745588784
0,C25-1416,1.223700609155401
0,C25-1417,1.5109937633745631
0,C25-1418,1.2148497414719792
0,C25-1398,1.7041045961692276
0,C25-1399,1.5761604262864939
0,C25-1400,1.5708364405151567
0,C25-1401,1.4424591748146682
0,C25-1402,1.5957825444870266
0,C25-1404,1.6794346585515014
0,C25-1405,1.58981534502338
0,C25-1406,1.6794346585515014
0,C25-1407,1.8493579932119624
0,C25-1381,1.8793461197469095
