apartment_id,bus_stop_id,distance_miles,time_min
0,22041,3.6580213006574125,81.03333333333333
0,22038,3.5965053997290815,79.85
0,22194,0.572284290454472,12.85
0,22296,3.5144841984913073,78.01666666666667
0,22295,3.5045422347049104,77.81666666666666
0,22255,4.247704027738079,94.75
0,22047,4.293064237513515,95.45
0,22046,4.1669255719736045,92.96666666666667
0,22281,2.7725651509314377,62.15
0,22062,5.226987460698175,116.28333333333333
0,22116,1.7932817179713423,40.4
0,22115,1.6553369704350853,37.36666666666667
0,22027,2.2456410702524017,50.43333333333333
0,22010,2.2729814706649933,50.9
0,22122,2.093404749773199,46.9
0,22117,2.044937676314514,45.93333333333333
0,22112,1.4707892676500927,33.53333333333333
0,22113,1.4471771036574,32.833333333333336
0,22313,1.4807312314364895,33.85
0,22312,1.6826773708476768,38.55
0,22127,1.7920389724980428,39.916666666666664
