apartment_id,grocery_store_id,distance_miles,time_min
15,7,1.161345644798489,7.216666666666667
15,8,0.9569140144407025,5.95
15,9,5.862030397554277,12.466666666666667
15,10,3.60209775435893,9.3
15,11,2.9819677631824226,7.866666666666666
15,12,2.5041321286987213,9.733333333333333
15,13,1.289348428548349,5.116666666666666
15,14,0.7568319932394647,4.733333333333333
15,15,5.4556526277853035,10.633333333333333
15,16,3.0030944362285164,12.1
15,17,3.4716094796624706,10.583333333333334
15,18,5.492313619247642,11.083333333333334
15,19,2.235077733729355,10.683333333333334
15,20,5.862030397554277,12.466666666666667
15,21,20.438192053885444,24.0
15,22,5.793058023786148,9.45
16,0,1.8709533100525682,6.833333333333333
16,1,2.0144904122186738,6.8
16,2,2.3717797357923125,7.9
16,3,2.318963053177079,7.933333333333334
16,4,2.1922030149005183,8.25
16,5,7.987746529633267,11.8
16,6,2.3233126623336275,7.683333333333334
16,7,2.2301067518361566,7.4
16,8,2.144978686915133,7.833333333333333
16,9,2.008898057588825,7.166666666666667
16,10,4.217878136378888,10.1
16,11,4.9803024842482015,12.95
16,12,1.8442342823766265,5.816666666666666
16,13,3.724508183478942,11.533333333333333
16,14,3.5269116532243032,10.883333333333333
16,15,0.4219120881852188,3.533333333333333
16,16,0.41569836081872075,2.216666666666667
16,17,4.764064771894069,11.983333333333333
16,18,0.40513502429567405,3.433333333333333
16,19,1.0961015074502591,4.716666666666667
16,20,2.008898057588825,7.166666666666667
16,21,20.623982502143736,23.3
16,22,10.536617495370773,13.233333333333333
17,0,3.5629512719499923,10.65
17,1,3.0030944362285164,9.633333333333333
17,2,3.991698460238359,11.85
17,3,3.1702437023873142,10.9
17,4,3.180807038910361,11.083333333333334
17,5,7.906968073868791,11.866666666666667
17,6,3.9426100140430242,11.65
17,7,3.027327972957859,9.983333333333333
17,8,3.147874283867921,10.75
17,9,0.2373643854002262,1.9
17,10,5.654491903513242,13.833333333333334
17,11,7.6447487790025725,11.716666666666667
17,12,3.28084804951098,9.566666666666666
17,13,6.318739358991885,11.15
17,14,5.786222923683001,10.766666666666667
17,15,1.6354530428622915,5.983333333333333
17,16,1.9393043110840469,6.8
17,17,6.200678539028422,15.716666666666667
17,18,1.6721140343246301,6.433333333333334
17,19,1.952353138553693,7.283333333333333
17,20,0.2373643854002262,1.9
17,21,20.543204046379262,23.383333333333333
17,22,10.455839039606298,13.316666666666666
18,0,3.3883455329513965,9.366666666666667
18,1,3.4119576969440892,7.566666666666666
18,2,2.9956379633887185,8.25
18,3,3.27960530403768,7.066666666666666
18,4,3.1528452657611195,6.4
18,5,0.588439981607367,2.5833333333333335
18,6,3.070202691786695,8.416666666666666
18,7,3.4231424062037856,8.25
18,8,3.218710775845999,7.0
18,9,7.9131818012352895,12.85
18,10,0.945729305181006,3.8666666666666667
18,11,0.23239340350702772,2.0
18,12,3.2938968769806256,8.083333333333334
18,13,1.9448966657138953,4.933333333333334
18,14,2.1499496688083313,6.55
18,15,7.506804031466316,11.016666666666667
18,16,4.697577889072539,12.433333333333334
18,17,0.993575005903041,4.65
18,18,7.543465022928654,11.466666666666667
18,19,6.695291237401668,11.183333333333334
18,20,7.9131818012352895,12.85
18,21,22.489343457566456,24.383333333333333
18,22,3.193234493643357,5.9
19,0,3.7002746467495995,10.2
19,1,3.5884275541526343,7.6
19,2,3.308188449923571,9.083333333333334
19,3,3.4560751612462255,7.1
19,4,3.329315122969665,6.416666666666667
19,5,0.7649098388159121,2.6
19,6,3.382131805584898,9.25
19,7,3.5996122634123306,8.283333333333333
19,8,3.395180633054544,7.033333333333333
19,9,8.089651658443834,12.866666666666667
19,10,1.122199162389551,3.8833333333333333
19,11,0.5294095716256354,2.8833333333333333
19,12,3.470366734189171,8.1
